regiao;estado;data;casosNovos;casosAcumulados;obitosNovos;obitosAcumulados
Centro-Oeste;DF;2020-03-30;0;312;0;1
Centro-Oeste;DF;2020-03-30;0;312;0;1
Centro-Oeste;DF;2020-03-31;20;332;2;3
Centro-Oeste;DF;2020-03-31;20;332;2;3
Centro-Oeste;DF;2020-04-01;23;355;0;3
Centro-Oeste;DF;2020-04-01;23;355;0;3
Centro-Oeste;DF;2020-04-02;15;370;1;4
Centro-Oeste;DF;2020-04-02;15;370;1;4
Centro-Oeste;DF;2020-04-03;32;402;1;5
Centro-Oeste;DF;2020-04-03;32;402;1;5
Centro-Oeste;DF;2020-04-04;52;454;2;7
Centro-Oeste;DF;2020-04-04;52;454;2;7
Centro-Oeste;DF;2020-04-05;14;468;0;7
Centro-Oeste;DF;2020-04-05;14;468;0;7
Centro-Oeste;DF;2020-04-06;5;473;3;10
Centro-Oeste;DF;2020-04-06;5;473;3;10
Centro-Oeste;DF;2020-04-07;19;492;2;12
Centro-Oeste;DF;2020-04-07;19;492;2;12
Centro-Oeste;DF;2020-04-08;17;509;0;12
Centro-Oeste;DF;2020-04-08;17;509;0;12
Centro-Oeste;DF;2020-04-09;18;527;1;13
Centro-Oeste;DF;2020-04-09;18;527;1;13
Centro-Oeste;DF;2020-04-10;28;555;1;14
Centro-Oeste;DF;2020-04-10;28;555;1;14
Centro-Oeste;DF;2020-04-11;24;579;0;14
Centro-Oeste;DF;2020-04-11;24;579;0;14
Centro-Oeste;DF;2020-04-12;35;614;0;14
Centro-Oeste;DF;2020-04-12;35;614;0;14
Centro-Oeste;DF;2020-04-13;24;638;1;15
Centro-Oeste;DF;2020-04-13;24;638;1;15
Centro-Oeste;DF;2020-04-14;13;651;2;17
Centro-Oeste;DF;2020-04-14;13;651;2;17
Centro-Oeste;DF;2020-04-15;31;682;0;17
Centro-Oeste;DF;2020-04-15;31;682;0;17
Centro-Oeste;DF;2020-04-16;34;716;3;20
Centro-Oeste;DF;2020-04-16;34;716;3;20
Centro-Oeste;DF;2020-04-17;30;746;0;20
Centro-Oeste;DF;2020-04-17;30;746;0;20
Centro-Oeste;DF;2020-04-18;16;762;4;24
Centro-Oeste;DF;2020-04-18;16;762;4;24
Centro-Oeste;DF;2020-04-19;65;827;0;24
Centro-Oeste;DF;2020-04-19;65;827;0;24
Centro-Oeste;DF;2020-04-20;45;872;0;24
Centro-Oeste;DF;2020-04-20;45;872;0;24
Centro-Oeste;DF;2020-04-21;9;881;0;24
Centro-Oeste;DF;2020-04-21;9;881;0;24
Centro-Oeste;DF;2020-04-22;65;946;1;25
Centro-Oeste;DF;2020-04-22;65;946;1;25
Centro-Oeste;DF;2020-04-23;17;963;0;25
Centro-Oeste;DF;2020-04-23;17;963;0;25
