"data","boletim","Municipio_deResidencia","Casoconfirmado","CasoDescartado","Casosuspeito","Total"
"02/04/2020","35","Afonso Cláudio","1","3","0","4"
"02/04/2020","35","Água Doce do Norte","0","1","0","1"
"02/04/2020","35","Alegre","0","2","0","2"
"02/04/2020","35","Alfredo Chaves","0","6","1","7"
"02/04/2020","35","Anchieta","0","3","0","3"
"02/04/2020","35","Apiacá","0","0","13","13"
"02/04/2020","35","Aracruz","1","14","18","33"
"02/04/2020","35","Atílio Vivácqua","0","3","0","3"
"02/04/2020","35","Barra de São Francisco","0","3","1","4"
"02/04/2020","35","Boa Esperança","0","1","1","2"
"02/04/2020","35","Bom Jesus do Norte","0","0","11","11"
"02/04/2020","35","Brejetuba","0","1","0","1"
"02/04/2020","35","Cachoeiro de Itapemirim","1","29","11","41"
"02/04/2020","35","Cariacica","11","109","39","159"
"02/04/2020","35","Castelo","2","8","1","11"
"02/04/2020","35","Colatina","0","20","2","22"
"02/04/2020","35","Conceição da Barra","0","1","0","1"
"02/04/2020","35","Divino de São Lourenço","0","1","0","1"
"02/04/2020","35","Domingos Martins","0","9","2","11"
"02/04/2020","35","Dores do Rio Preto","0","1","0","1"
"02/04/2020","35","Fundão","1","","16","17"
"02/04/2020","35","Governador Lindenberg","0","1","0","1"
"02/04/2020","35","Guaçuí","0","4","2","6"
"02/04/2020","35","Guarapari","3","20","3","26"
"02/04/2020","35","Ibiraçu","0","0","1","1"
"02/04/2020","35","Ibitirama","0","0","1","1"
"02/04/2020","35","Iconha","0","5","1","6"
"02/04/2020","35","Itaguaçu","0","1","0","1"
"02/04/2020","35","Itapemirim","1","3","2","6"
"02/04/2020","35","Itarana","0","2","0","2"
"02/04/2020","35","Jaguaré","0","2","1","3"
"02/04/2020","35","Jerônimo Monteiro","0","1","3","4"
"02/04/2020","35","João Neiva","0","2","1","3"
"02/04/2020","35","Laranja da Terra","0","1","0","1"
"02/04/2020","35","Linhares","7","70","90","167"
"02/04/2020","35","Mantenópolis","0","1","0","1"
"02/04/2020","35","Marataízes","0","4","2","6"
"02/04/2020","35","Marechal Floriano","0","3","0","3"
"02/04/2020","35","Marilândia","0","0","5","5"
"02/04/2020","35","Mimoso do Sul","0","6","0","6"
"02/04/2020","35","Montanha","0","1","1","2"
"02/04/2020","35","Mucurici","0","0","1","1"
"02/04/2020","35","Muniz Freire","0","2","0","2"
"02/04/2020","35","Muqui","0","1","0","1"
"02/04/2020","35","Nova Venécia","0","6","0","6"
"02/04/2020","35","Pancas","0","1","0","1"
"02/04/2020","35","Pedro Canário","0","3","1","4"
"02/04/2020","35","Pinheiros","0","8","0","8"
"02/04/2020","35","Piúma","0","9","6","15"
"02/04/2020","35","Ponto Belo","0","1","0","1"
"02/04/2020","35","Rio Bananal","0","4","0","4"
"02/04/2020","35","Rio Novo do Sul","0","1","1","2"
"02/04/2020","35","Santa Maria de Jetibá","0","6","0","6"
"02/04/2020","35","Santa Teresa","1","2","0","3"
"02/04/2020","35","São Gabriel da Palha","0","2","0","2"
"02/04/2020","35","São José do Calçado","0","1","0","1"
"02/04/2020","35","São Mateus","3","15","6","24"
"02/04/2020","35","São Roque do Canaã","1","2","1","4"
"02/04/2020","35","Serra","23","143","248","414"
"02/04/2020","35","Sooretama","2","2","5","9"
"02/04/2020","35","Vargem Alta","0","2","0","2"
"02/04/2020","35","Venda Nova do Imigrante","0","5","0","5"
"02/04/2020","35","Viana","1","13","33","47"
"02/04/2020","35","Vila Pavão","0","1","0","1"
"02/04/2020","35","Vila Valério","0","0","1","1"
"02/04/2020","35","Vila Velha","44","297","126","467"
"02/04/2020","35","Vitória","36","216","79","331"
