"dia_ano","dias","otimista","casos_estimados","pessimista","x"
124,2020-05-03,106,124,142,123
125,2020-05-04,115,134,153,141
126,2020-05-05,124,145,166,146
127,2020-05-06,135,157,179,160
128,2020-05-07,146,170,194,165
129,2020-05-08,158,184,210,183
130,2020-05-09,171,199,227,196
131,2020-05-10,185,216,247,202
132,2020-05-11,200,233,266,NA
133,2020-05-12,217,253,289,NA
134,2020-05-13,235,274,313,NA
135,2020-05-14,254,296,338,NA
136,2020-05-15,275,321,367,NA
137,2020-05-16,298,347,396,NA
138,2020-05-17,322,376,430,NA
