location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
Brasil;2020-04-01;total_deaths;7;2020-03-28;84;2020-04-01;164;1.95
Brasil;2020-04-02;total_deaths;7;2020-03-29;98;2020-04-02;188;1.92
Brasil;2020-04-03;total_deaths;7;2020-03-30;113;2020-04-03;219;1.94
Brasil;2020-04-04;total_deaths;7;2020-03-31;136;2020-04-04;260;1.91
Brasil;2020-04-05;total_deaths;7;2020-03-31;136;2020-04-05;275;2.02
Brasil;2020-04-06;total_deaths;8;2020-04-01;164;2020-04-06;304;1.85
Brasil;2020-04-07;total_deaths;8;2020-04-02;188;2020-04-07;371;1.97
Brasil;2020-04-08;total_deaths;8;2020-04-03;219;2020-04-08;428;1.95
Brasil;2020-04-09;total_deaths;7;2020-04-05;275;2020-04-09;496;1.8
Brasil;2020-04-10;total_deaths;8;2020-04-05;275;2020-04-10;540;1.96
Brasil;2020-04-11;total_deaths;8;2020-04-06;304;2020-04-11;560;1.84
Brasil;2020-04-12;total_deaths;9;2020-04-06;304;2020-04-12;588;1.93
Brasil;2020-04-13;total_deaths;9;2020-04-06;304;2020-04-13;608;2
Brasil;2020-04-14;total_deaths;10;2020-04-07;371;2020-04-14;695;1.87
Brasil;2020-04-15;total_deaths;10;2020-04-08;428;2020-04-15;778;1.82
Brasil;2020-04-16;total_deaths;11;2020-04-08;428;2020-04-16;853;1.99
Brasil;2020-04-17;total_deaths;11;2020-04-09;496;2020-04-17;928;1.87
Brasil;2020-04-18;total_deaths;11;2020-04-10;540;2020-04-18;991;1.84
Brasil;2020-04-19;total_deaths;11;2020-04-11;560;2020-04-19;1015;1.81
Brasil;2020-04-20;total_deaths;12;2020-04-11;560;2020-04-20;1037;1.85
Brasil;2020-04-21;total_deaths;12;2020-04-12;588;2020-04-21;1093;1.86
Brasil;2020-04-22;total_deaths;12;2020-04-13;608;2020-04-22;1134;1.87
Brasil;2020-04-23;total_deaths;12;2020-04-14;695;2020-04-23;1345;1.94
Brasil;2020-04-24;total_deaths;12;2020-04-15;778;2020-04-24;1512;1.94
Brasil;2020-04-25;total_deaths;12;2020-04-16;853;2020-04-25;1667;1.95
Brasil;2020-04-26;total_deaths;12;2020-04-17;928;2020-04-26;1700;1.83
Brasil;2020-04-27;total_deaths;12;2020-04-18;991;2020-04-27;1825;1.84
Brasil;2020-04-28;total_deaths;9;2020-04-22;1134;2020-04-28;2049;1.81
Brasil;2020-04-29;total_deaths;10;2020-04-22;1134;2020-04-29;2247;1.98
Brasil;2020-04-30;total_deaths;10;2020-04-22;1134;2020-04-30;2375;2.09
Brasil;2020-05-01;total_deaths;11;2020-04-23;1345;2020-05-01;2511;1.87
Brasil;2020-05-02;total_deaths;12;2020-04-23;1345;2020-05-02;2586;1.92
Brasil;2020-05-03;total_deaths;13;2020-04-23;1345;2020-05-03;2627;1.95
Brasil;2020-05-04;total_deaths;14;2020-04-23;1345;2020-05-04;2654;1.97
Brasil;2020-05-05;total_deaths;14;2020-04-24;1512;2020-05-05;2851;1.89
Brasil;2020-05-06;total_deaths;14;2020-04-25;1667;2020-05-06;3045;1.83
Brasil;2020-05-07;total_deaths;14;2020-04-26;1700;2020-05-07;3206;1.89
Brasil;2020-05-08;total_deaths;14;2020-04-27;1825;2020-05-08;3416;1.87
Brasil;2020-05-09;total_deaths;15;2020-04-27;1825;2020-05-09;3608;1.98
Brasil;2020-05-10;total_deaths;15;2020-04-28;2049;2020-05-10;3709;1.81
Brasil;2020-05-11;total_deaths;16;2020-04-28;2049;2020-05-11;3743;1.83
Brasil;2020-05-12;total_deaths;17;2020-04-28;2049;2020-05-12;3949;1.93
Brasil;2020-05-13;total_deaths;17;2020-04-29;2247;2020-05-13;4118;1.83
Brasil;2020-05-14;total_deaths;17;2020-04-30;2375;2020-05-14;4315;1.82
Brasil;2020-05-15;total_deaths;18;2020-04-30;2375;2020-05-15;4501;1.9
Brasil;2020-05-16;total_deaths;17;2020-05-02;2586;2020-05-16;4688;1.81
Brasil;2020-05-17;total_deaths;16;2020-05-04;2654;2020-05-17;4782;1.8
Brasil;2020-05-18;total_deaths;17;2020-05-04;2654;2020-05-18;4823;1.82
Brasil;2020-05-19;total_deaths;17;2020-05-05;2851;2020-05-19;5147;1.81
Brasil;2020-05-20;total_deaths;18;2020-05-05;2851;2020-05-20;5363;1.88
Brasil;2020-05-21;total_deaths;18;2020-05-06;3045;2020-05-21;5558;1.83
Brasil;2020-05-22;total_deaths;18;2020-05-07;3206;2020-05-22;5773;1.8
Brasil;2020-05-23;total_deaths;19;2020-05-07;3206;2020-05-23;6045;1.89
Brasil;2020-05-24;total_deaths;19;2020-05-08;3416;2020-05-24;6163;1.8
Brasil;2020-05-25;total_deaths;20;2020-05-08;3416;2020-05-25;6220;1.82
Brasil;2020-05-26;total_deaths;21;2020-05-08;3416;2020-05-26;6423;1.88
Brasil;2020-05-27;total_deaths;20;2020-05-10;3709;2020-05-27;6712;1.81
Brasil;2020-05-28;total_deaths;20;2020-05-11;3743;2020-05-28;6980;1.86
Brasil;2020-05-29;total_deaths;20;2020-05-12;3949;2020-05-29;7275;1.84
Brasil;2020-05-30;total_deaths;20;2020-05-13;4118;2020-05-30;7532;1.83
Brasil;2020-05-31;total_deaths;21;2020-05-13;4118;2020-05-31;7615;1.85
Brasil;2020-06-01;total_deaths;22;2020-05-13;4118;2020-06-01;7667;1.86
Brasil;2020-06-02;total_deaths;22;2020-05-14;4315;2020-06-02;7994;1.85
Brasil;2020-06-03;total_deaths;22;2020-05-15;4501;2020-06-03;8276;1.84
Brasil;2020-06-04;total_deaths;22;2020-05-16;4688;2020-06-04;8560;1.83
Brasil;2020-06-05;total_deaths;21;2020-05-18;4823;2020-06-05;8842;1.83
Brasil;2020-06-06;total_deaths;22;2020-05-18;4823;2020-06-06;9058;1.88
Brasil;2020-06-07;total_deaths;23;2020-05-18;4823;2020-06-07;9145;1.9
Brasil;2020-06-08;total_deaths;24;2020-05-18;4823;2020-06-08;9188;1.91
Brasil;2020-06-09;total_deaths;24;2020-05-19;5147;2020-06-09;9522;1.85
Brasil;2020-06-10;total_deaths;24;2020-05-20;5363;2020-06-10;9862;1.84
Brasil;2020-06-11;total_deaths;24;2020-05-21;5558;2020-06-11;10145;1.83
Brasil;2020-06-12;total_deaths;25;2020-05-21;5558;2020-06-12;10368;1.87
Brasil;2020-06-13;total_deaths;25;2020-05-22;5773;2020-06-13;10581;1.83
Brasil;2020-06-14;total_deaths;26;2020-05-22;5773;2020-06-14;10694;1.85
Brasil;2020-06-15;total_deaths;27;2020-05-22;5773;2020-06-15;10767;1.87
Brasil;2020-06-16;total_deaths;26;2020-05-24;6163;2020-06-16;11132;1.81
Brasil;2020-06-17;total_deaths;26;2020-05-25;6220;2020-06-17;11521;1.85
Brasil;2020-06-18;total_deaths;26;2020-05-26;6423;2020-06-18;11846;1.84
Brasil;2020-06-19;total_deaths;26;2020-05-27;6712;2020-06-19;12232;1.82
