"dia_ano","dias","otimista","casos_estimados","pessimista","x"
176,2020-06-24,364,423,482,455
177,2020-06-25,378,440,502,467
178,2020-06-26,393,457,521,476
179,2020-06-27,409,476,543,476
180,2020-06-28,425,495,565,486
181,2020-06-29,442,514,586,500
182,2020-06-30,460,535,610,518
183,2020-07-01,478,556,634,520
184,2020-07-02,497,578,659,530
185,2020-07-03,517,601,685,533
186,2020-07-04,537,625,713,548
187,2020-07-05,559,650,741,NA
188,2020-07-06,581,676,771,NA
189,2020-07-07,604,703,802,NA
190,2020-07-08,628,731,834,NA
191,2020-07-09,653,760,867,NA
192,2020-07-10,680,791,902,NA
193,2020-07-11,706,822,938,NA
194,2020-07-12,735,855,975,NA
195,2020-07-13,764,889,1014,NA
196,2020-07-14,794,924,1054,NA
