"dia_ano","dias","otimista","casos_estimados","pessimista","x"
163,2020-06-11,295,304,313,303
164,2020-06-12,301,310,319,312
165,2020-06-13,307,316,325,319
166,2020-06-14,313,322,331,324
167,2020-06-15,318,327,336,329
168,2020-06-16,322,332,342,337
169,2020-06-17,327,337,347,338
170,2020-06-18,332,342,352,342
171,2020-06-19,336,346,356,348
172,2020-06-20,340,350,360,353
173,2020-06-21,344,354,364,359
174,2020-06-22,348,358,368,NA
175,2020-06-23,351,361,371,NA
176,2020-06-24,355,365,375,NA
177,2020-06-25,357,368,379,NA
178,2020-06-26,360,371,382,NA
179,2020-06-27,362,373,384,NA
180,2020-06-28,365,376,387,NA
181,2020-06-29,367,378,389,NA
182,2020-06-30,369,380,391,NA
183,2020-07-01,371,382,393,NA
