"dia_ano","dias","otimista","casos_estimados","pessimista","x"
172,2020-06-20,414,443,472,430
173,2020-06-21,426,456,486,434
174,2020-06-22,439,470,501,458
175,2020-06-23,452,484,516,477
176,2020-06-24,465,498,531,500
177,2020-06-25,478,512,546,500
178,2020-06-26,491,526,561,540
179,2020-06-27,504,540,576,554
180,2020-06-28,517,554,591,559
181,2020-06-29,531,568,605,582
182,2020-06-30,545,583,621,614
183,2020-07-01,558,597,636,NA
184,2020-07-02,572,612,652,NA
185,2020-07-03,585,626,667,NA
186,2020-07-04,599,641,683,NA
187,2020-07-05,612,655,698,NA
188,2020-07-06,626,670,714,NA
189,2020-07-07,639,684,729,NA
190,2020-07-08,653,699,745,NA
191,2020-07-09,666,713,760,NA
192,2020-07-10,679,727,775,NA
