"dia_ano","dias","otimista","casos_estimados","pessimista","x"
177,2020-06-25,485,533,581,546
178,2020-06-26,507,557,607,574
179,2020-06-27,531,583,635,592
180,2020-06-28,555,610,665,615
181,2020-06-29,581,638,695,643
182,2020-06-30,608,668,728,663
183,2020-07-01,636,699,762,686
184,2020-07-02,665,731,797,697
185,2020-07-03,696,765,834,726
186,2020-07-04,728,800,872,762
187,2020-07-05,762,837,912,784
188,2020-07-06,797,876,955,NA
189,2020-07-07,834,916,998,NA
190,2020-07-08,872,958,1044,NA
191,2020-07-09,913,1003,1093,NA
192,2020-07-10,955,1049,1143,NA
193,2020-07-11,999,1097,1195,NA
194,2020-07-12,1045,1148,1251,NA
195,2020-07-13,1093,1201,1309,NA
196,2020-07-14,1144,1257,1370,NA
197,2020-07-15,1197,1315,1433,NA
