"dia_ano","dias","otimista","casos_estimados","pessimista","x"
191,2020-07-09,432,464,496,447
192,2020-07-10,446,479,512,459
193,2020-07-11,462,496,530,485
194,2020-07-12,477,512,547,497
195,2020-07-13,493,530,567,517
196,2020-07-14,510,548,586,534
197,2020-07-15,527,566,605,569
198,2020-07-16,545,585,625,588
199,2020-07-17,563,605,647,646
200,2020-07-18,583,626,669,662
201,2020-07-19,602,647,692,685
202,2020-07-20,623,669,715,NA
203,2020-07-21,643,691,739,NA
204,2020-07-22,666,715,764,NA
205,2020-07-23,688,739,790,NA
206,2020-07-24,711,764,817,NA
207,2020-07-25,735,790,845,NA
208,2020-07-26,760,816,872,NA
209,2020-07-27,786,844,902,NA
210,2020-07-28,812,872,932,NA
211,2020-07-29,840,902,964,NA
