location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-06-15;total_cases;22;2020-05-27;5251;2020-06-15;9771;1.86
AL;2020-06-15;total_cases;15;2020-06-03;12407;2020-06-15;22962;1.85
AM;2020-06-15;total_cases;24;2020-05-25;30282;2020-06-15;56777;1.87
AP;2020-06-15;total_cases;19;2020-05-30;9313;2020-06-15;16813;1.81
BA;2020-06-15;total_cases;17;2020-06-01;18898;2020-06-15;37620;1.99
CE;2020-06-15;total_cases;19;2020-05-29;38395;2020-06-15;79462;2.07
DF;2020-06-15;total_cases;14;2020-06-04;12923;2020-06-15;23684;1.83
ES;2020-06-15;total_cases;16;2020-06-02;15151;2020-06-15;27581;1.82
GO;2020-06-15;total_cases;13;2020-06-05;5373;2020-06-15;10182;1.9
MA;2020-06-15;total_cases;19;2020-05-30;32620;2020-06-15;60592;1.86
MG;2020-06-15;total_cases;15;2020-06-03;12010;2020-06-15;21728;1.81
MS;2020-06-15;total_cases;14;2020-06-04;1925;2020-06-15;3551;1.84
MT;2020-06-15;total_cases;14;2020-06-04;3194;2020-06-15;6185;1.94
PA;2020-06-15;total_cases;17;2020-06-01;38046;2020-06-15;69224;1.82
PB;2020-06-15;total_cases;16;2020-06-02;14859;2020-06-15;28668;1.93
PE;2020-06-15;total_cases;28;2020-05-21;23911;2020-06-15;45507;1.9
PI;2020-06-15;total_cases;16;2020-06-02;5506;2020-06-15;10357;1.88
PR;2020-06-15;total_cases;16;2020-06-02;5163;2020-06-15;9716;1.88
RJ;2020-06-15;total_cases;21;2020-05-28;44886;2020-06-15;80946;1.8
RN;2020-06-15;total_cases;18;2020-05-31;7402;2020-06-15;14214;1.92
RO;2020-06-15;total_cases;14;2020-06-04;6459;2020-06-15;12180;1.89
RR;2020-06-15;total_cases;17;2020-06-01;3692;2020-06-15;6881;1.86
RS;2020-06-15;total_cases;20;2020-05-29;8234;2020-06-15;15438;1.87
SC;2020-06-15;total_cases;22;2020-05-27;7372;2020-06-15;13960;1.89
SE;2020-06-15;total_cases;13;2020-06-05;8577;2020-06-15;15675;1.83
SP;2020-06-15;total_cases;21;2020-05-28;95865;2020-06-15;181460;1.89
TO;2020-06-15;total_cases;20;2020-05-29;3611;2020-06-15;7137;1.98
