"dia_ano","dias","otimista","casos_estimados","pessimista","x"
183,2020-07-01,1041,1090,1139,1072
184,2020-07-02,1056,1105,1154,1091
185,2020-07-03,1070,1120,1170,1113
186,2020-07-04,1084,1134,1184,1134
187,2020-07-05,1097,1148,1199,1153
188,2020-07-06,1108,1160,1212,1172
189,2020-07-07,1121,1173,1225,1192
190,2020-07-08,1131,1184,1237,1213
191,2020-07-09,1143,1196,1249,1230
192,2020-07-10,1152,1206,1260,1246
193,2020-07-11,1162,1216,1270,1264
194,2020-07-12,1171,1226,1281,NA
195,2020-07-13,1180,1235,1290,NA
196,2020-07-14,1189,1244,1299,NA
197,2020-07-15,1196,1252,1308,NA
198,2020-07-16,1203,1259,1315,NA
199,2020-07-17,1211,1267,1323,NA
200,2020-07-18,1217,1274,1331,NA
201,2020-07-19,1223,1280,1337,NA
202,2020-07-20,1229,1286,1343,NA
203,2020-07-21,1234,1292,1350,NA
