"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-06-02,10090,10478,10284,10938,9630,10511
2020-06-03,10690,10982,10836,11525,10147,11107
2020-06-04,11326,11492,11409,12134,10684,11551
2020-06-05,11999,12004,12002,12765,11239,12327
2020-06-06,12712,12518,12615,13417,11813,12773
2020-06-07,13468,13032,13250,14092,12408,13045
2020-06-08,14269,13544,13906,14790,13022,13294
2020-06-09,15117,14052,14584,15511,13657,13771
2020-06-10,16016,14555,15286,16258,14314,NA
2020-06-11,16968,15051,16010,17028,14992,NA
2020-06-12,17977,15538,16758,17823,15693,NA
2020-06-13,19046,16016,17531,18645,16417,NA
2020-06-14,20178,16482,18330,19495,17165,NA
2020-06-15,21377,16936,19156,20374,17938,NA
2020-06-16,22648,17377,20012,21284,18740,NA
