"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","latitude","longitude"
"World",2019-12-30,250,345,440,16,27,"0","0"
"World",2019-12-31,272,375,478,18,27,"0","0"
"World",2020-01-01,296,408,520,19,27,"0","0"
"World",2020-01-02,322,444,566,21,44,"0","0"
"World",2020-01-03,350,483,616,23,44,"0","0"
"World",2020-01-04,381,525,669,25,59,"0","0"
"World",2020-01-05,414,571,728,27,59,"0","0"
"World",2020-01-06,451,621,791,29,59,"0","0"
"World",2020-01-07,490,675,860,32,59,"0","0"
"World",2020-01-08,532,734,936,35,59,"0","0"
"World",2020-01-09,580,799,1018,38,59,"0","0"
"World",2020-01-10,630,868,1106,41,59,"0","0"
"World",2020-01-11,685,944,1203,44,59,"0","0"
"World",2020-01-12,745,1027,1309,48,60,"0","0"
"World",2020-01-13,810,1117,1424,53,60,"0","0"
"World",2020-01-14,881,1215,1549,57,61,"0","0"
"World",2020-01-15,958,1321,1684,62,61,"0","0"
"World",2020-01-16,1042,1437,1832,68,66,"0","0"
"World",2020-01-17,1133,1562,1991,73,83,"0","0"
"World",2020-01-18,1233,1699,2165,80,219,"0","0"
"World",2020-01-19,1341,1848,2355,87,239,"0","0"
"World",2020-01-20,1457,2009,2561,94,392,"0","0"
"World",2020-01-21,1585,2185,2785,103,534,"0","0"
"World",2020-01-22,1724,2376,3028,112,631,"0","0"
"World",2020-01-23,1875,2584,3293,122,897,"0","0"
"World",2020-01-24,2039,2810,3581,132,1350,"0","0"
"World",2020-01-25,2217,3056,3895,144,2023,"0","0"
"World",2020-01-26,2411,3324,4237,156,2820,"0","0"
"World",2020-01-27,2622,3614,4606,170,4587,"0","0"
"World",2020-01-28,2852,3931,5010,185,6067,"0","0"
"World",2020-01-29,3101,4274,5447,201,7823,"0","0"
"World",2020-01-30,3372,4648,5924,219,9826,"0","0"
"World",2020-01-31,3667,5055,6443,238,11946,"0","0"
"World",2020-02-01,3988,5497,7006,259,14554,"0","0"
"World",2020-02-02,4337,5978,7619,281,17372,"0","0"
"World",2020-02-03,4717,6502,8287,306,20615,"0","0"
"World",2020-02-04,5129,7070,9011,333,24522,"0","0"
"World",2020-02-05,5578,7689,9800,362,28273,"0","0"
"World",2020-02-06,6066,8362,10658,393,31491,"0","0"
"World",2020-02-07,6597,9093,11589,428,34933,"0","0"
"World",2020-02-08,7174,9889,12604,465,37552,"0","0"
"World",2020-02-09,7802,10754,13706,506,40540,"0","0"
"World",2020-02-10,8484,11695,14906,550,43105,"0","0"
"World",2020-02-11,9226,12718,16210,598,45177,"0","0"
"World",2020-02-12,10034,13831,17628,650,60328,"0","0"
"World",2020-02-13,10912,15041,19170,707,64543,"0","0"
"World",2020-02-14,11866,16357,20848,769,67103,"0","0"
"World",2020-02-15,12904,17788,22672,837,69265,"0","0"
"World",2020-02-16,14034,19345,24656,910,71332,"0","0"
"World",2020-02-17,15261,21037,26813,989,73327,"0","0"
"World",2020-02-18,16597,22878,29159,1076,75191,"0","0"
"World",2020-02-19,18049,24879,31709,1170,75723,"0","0"
"World",2020-02-20,19628,27056,34484,1272,76719,"0","0"
"World",2020-02-21,21345,29423,37501,1384,77804,"0","0"
"World",2020-02-22,23213,31998,40783,1505,78812,"0","0"
"World",2020-02-23,25244,34797,44350,1637,79339,"0","0"
"World",2020-02-24,27453,37842,48231,1780,80132,"0","0"
"World",2020-02-25,29854,41152,52450,1935,80995,"0","0"
"World",2020-02-26,32466,44753,57040,2105,82101,"0","0"
"World",2020-02-27,35306,48668,62030,2289,83365,"0","0"
"World",2020-02-28,38395,52926,67457,2489,85203,"0","0"
"World",2020-02-29,41754,57556,73358,2707,87024,"0","0"
"World",2020-03-01,45408,62592,79776,2944,89068,"0","0"
"World",2020-03-02,49380,68068,86756,3201,90664,"0","0"
"World",2020-03-03,53700,74023,94346,3481,93077,"0","0"
"World",2020-03-04,58398,80499,102600,3786,95316,"0","0"
"World",2020-03-05,63507,87541,111575,4117,98172,"0","0"
"World",2020-03-06,69062,95199,121336,4477,102133,"0","0"
"World",2020-03-07,75104,103527,131950,4869,105824,"0","0"
"World",2020-03-08,81674,112584,143494,5295,109695,"0","0"
"World",2020-03-09,88819,122433,156047,5758,114232,"0","0"
"World",2020-03-10,96589,133143,169697,6262,118610,"0","0"
"World",2020-03-11,105038,144789,184540,6810,125497,"0","0"
"World",2020-03-12,114226,157455,200684,7405,133852,"0","0"
"World",2020-03-13,124218,171228,218238,8053,143227,"0","0"
"World",2020-03-14,135083,186205,237327,8757,151367,"0","0"
"World",2020-03-15,146898,202492,258086,9523,167418,"0","0"
"World",2020-03-16,159747,220203,280659,10356,180163,"0","0"
"World",2020-03-17,173718,239462,305206,11262,194913,"0","0"
"World",2020-03-18,188912,260406,331900,12247,213258,"0","0"
"World",2020-03-19,205434,283180,360926,13318,242472,"0","0"
"World",2020-03-20,223400,307945,392490,14483,271241,"0","0"
"World",2020-03-21,242936,334875,426814,15750,305270,"0","0"
"World",2020-03-22,264179,364158,464137,17127,338298,"0","0"
"World",2020-03-23,287280,396001,504722,18624,378113,"0","0"
"World",2020-03-24,312399,430626,548853,20253,417061,"0","0"
"World",2020-03-25,339712,468276,596840,22024,468284,"0","0"
"World",2020-03-26,369412,509216,649020,23949,528019,"0","0"
"World",2020-03-27,401706,553732,705758,26043,591971,"0","0"
"World",2020-03-28,436821,602135,767449,28319,657140,"0","0"
"World",2020-03-29,475002,654766,834530,30794,683694,"0","0"
"World",2020-03-30,516516,711991,907466,33486,NA,"0","0"
"World",2020-03-31,561655,774213,986771,36412,NA,"0","0"
"World",2020-04-01,610733,841864,1072995,39594,NA,"0","0"
"World",2020-04-02,664093,915418,1166743,43053,NA,"0","0"
"World",2020-04-03,722108,995389,1268670,46814,NA,"0","0"
"World",2020-04-04,785183,1082335,1379487,50904,NA,"0","0"
"World",2020-04-05,853757,1176861,1499965,55349,NA,"0","0"
