"dia_ano","dias","otimista","casos_estimados","pessimista","x"
168,2020-06-16,207,402,597,346
169,2020-06-17,223,433,643,360
170,2020-06-18,240,465,690,374
171,2020-06-19,257,499,741,391
172,2020-06-20,275,534,793,409
173,2020-06-21,294,570,846,417
174,2020-06-22,313,607,901,431
175,2020-06-23,333,646,959,444
176,2020-06-24,353,685,1017,455
177,2020-06-25,373,724,1075,467
178,2020-06-26,394,764,1134,476
179,2020-06-27,415,805,1195,NA
180,2020-06-28,435,845,1255,NA
181,2020-06-29,456,885,1314,NA
182,2020-06-30,477,925,1373,NA
183,2020-07-01,497,964,1431,NA
184,2020-07-02,517,1003,1489,NA
185,2020-07-03,536,1040,1544,NA
186,2020-07-04,555,1077,1599,NA
187,2020-07-05,573,1112,1651,NA
188,2020-07-06,590,1146,1702,NA
