"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
174,2020-06-22,77,107,137,99
175,2020-06-23,80,111,142,106
176,2020-06-24,83,116,149,108
177,2020-06-25,86,120,154,115
178,2020-06-26,90,125,160,120
179,2020-06-27,94,130,166,120
180,2020-06-28,97,135,173,125
181,2020-06-29,101,140,179,131
182,2020-06-30,105,146,187,140
183,2020-07-01,109,151,193,148
184,2020-07-02,113,157,201,156
185,2020-07-03,118,164,210,NA
186,2020-07-04,122,170,218,NA
187,2020-07-05,127,177,227,NA
188,2020-07-06,132,184,236,NA
189,2020-07-07,137,191,245,NA
190,2020-07-08,143,199,255,NA
191,2020-07-09,148,206,264,NA
192,2020-07-10,154,214,274,NA
193,2020-07-11,160,223,286,NA
194,2020-07-12,167,232,297,NA
