location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-09-17;total_deaths;84;2020-06-28;353;2020-09-17;646;1.83
AL;2020-09-17;total_deaths;80;2020-07-02;1091;2020-09-17;2002;1.84
AM;2020-09-17;total_deaths;108;2020-06-04;2183;2020-09-17;3931;1.8
AP;2020-09-17;total_deaths;89;2020-06-23;380;2020-09-17;688;1.81
BA;2020-09-17;total_deaths;52;2020-07-30;3391;2020-09-17;6132;1.81
CE;2020-09-17;total_deaths;98;2020-06-14;4861;2020-09-17;8774;1.8
DF;2020-09-17;total_deaths;45;2020-08-06;1651;2020-09-17;3022;1.83
ES;2020-09-17;total_deaths;75;2020-07-07;1880;2020-09-17;3399;1.81
GO;2020-09-17;total_deaths;38;2020-08-13;2213;2020-09-17;3995;1.81
MA;2020-09-17;total_deaths;83;2020-06-29;2012;2020-09-17;3622;1.8
MG;2020-09-17;total_deaths;41;2020-08-10;3597;2020-09-17;6500;1.81
MS;2020-09-17;total_deaths;35;2020-08-16;626;2020-09-17;1133;1.81
MT;2020-09-17;total_deaths;52;2020-07-30;1763;2020-09-17;3178;1.8
PA;2020-09-17;total_deaths;107;2020-06-05;3538;2020-09-17;6421;1.81
PB;2020-09-17;total_deaths;64;2020-07-18;1477;2020-09-17;2670;1.81
PE;2020-09-17;total_deaths;89;2020-06-23;4339;2020-09-17;7954;1.83
PI;2020-09-17;total_deaths;63;2020-07-19;1100;2020-09-17;2007;1.82
PR;2020-09-17;total_deaths;45;2020-08-06;2224;2020-09-17;4018;1.81
RJ;2020-09-17;total_deaths;86;2020-06-26;9587;2020-09-17;17453;1.82
RN;2020-09-17;total_deaths;75;2020-07-07;1291;2020-09-17;2333;1.81
RO;2020-09-17;total_deaths;62;2020-07-20;710;2020-09-17;1289;1.82
RR;2020-09-17;total_deaths;81;2020-07-01;314;2020-09-17;611;1.95
RS;2020-09-17;total_deaths;42;2020-08-09;2360;2020-09-17;4268;1.81
SC;2020-09-17;total_deaths;42;2020-08-09;1445;2020-09-17;2609;1.81
SE;2020-09-17;total_deaths;65;2020-07-17;1088;2020-09-17;1968;1.81
SP;2020-09-17;total_deaths;68;2020-07-14;18324;2020-09-17;33472;1.83
TO;2020-09-17;total_deaths;41;2020-08-10;461;2020-09-17;840;1.82
