location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-08-23;total_cases;58;2020-06-29;13146;2020-08-23;23719;1.8
AL;2020-08-23;total_cases;50;2020-07-07;41524;2020-08-23;75857;1.83
AM;2020-08-23;total_cases;65;2020-06-22;63731;2020-08-23;115615;1.81
AP;2020-08-23;total_cases;66;2020-06-21;21840;2020-08-23;41120;1.88
BA;2020-08-23;total_cases;36;2020-07-21;126844;2020-08-23;236050;1.86
CE;2020-08-23;total_cases;56;2020-07-01;113017;2020-08-23;205441;1.82
DF;2020-08-23;total_cases;38;2020-07-19;82412;2020-08-23;148998;1.81
ES;2020-08-23;total_cases;49;2020-07-08;58537;2020-08-23;105892;1.81
GO;2020-08-23;total_cases;28;2020-07-29;63658;2020-08-23;116664;1.83
MA;2020-08-23;total_cases;58;2020-06-29;78969;2020-08-23;144400;1.83
MG;2020-08-23;total_cases;33;2020-07-24;106812;2020-08-23;194614;1.82
MS;2020-08-23;total_cases;28;2020-07-29;23411;2020-08-23;42498;1.82
MT;2020-08-23;total_cases;30;2020-07-27;44838;2020-08-23;81253;1.81
PA;2020-08-23;total_cases;57;2020-06-30;103206;2020-08-23;189289;1.83
PB;2020-08-23;total_cases;50;2020-07-07;54802;2020-08-23;101132;1.85
PE;2020-08-23;total_cases;50;2020-07-07;66151;2020-08-23;119140;1.8
PI;2020-08-23;total_cases;37;2020-07-20;39606;2020-08-23;71899;1.82
PR;2020-08-23;total_cases;33;2020-07-24;64259;2020-08-23;117959;1.84
RJ;2020-08-23;total_cases;55;2020-07-02;116823;2020-08-23;210948;1.81
RN;2020-08-23;total_cases;55;2020-07-02;32897;2020-08-23;59582;1.81
RO;2020-08-23;total_cases;42;2020-07-15;27917;2020-08-23;51421;1.84
RR;2020-08-23;total_cases;43;2020-07-14;22968;2020-08-23;41730;1.82
RS;2020-08-23;total_cases;30;2020-07-27;60044;2020-08-23;109873;1.83
SC;2020-08-23;total_cases;30;2020-07-27;70138;2020-08-23;132492;1.89
SE;2020-08-23;total_cases;44;2020-07-13;38221;2020-08-23;70472;1.84
SP;2020-08-23;total_cases;37;2020-07-20;416434;2020-08-23;754129;1.81
TO;2020-08-23;total_cases;28;2020-07-29;23517;2020-08-23;43596;1.85
