location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
Afghanistan;2020-05-31;total_cases;14;2020-05-20;8145;2020-05-31;15205;1.87
Albania;2020-05-31;total_cases;43;2020-04-21;609;2020-05-31;1137;1.87
Algeria;2020-05-31;total_cases;27;2020-05-07;5182;2020-05-31;9394;1.81
Andorra;2020-05-31;total_cases;63;2020-04-01;390;2020-05-31;764;1.96
Angola;2020-05-31;total_cases;21;2020-05-13;45;2020-05-31;86;1.91
Argentina;2020-05-31;total_cases;14;2020-05-20;9270;2020-05-31;16838;1.82
Armenia;2020-05-31;total_cases;15;2020-05-19;5041;2020-05-31;9282;1.84
Aruba;2020-05-31;total_cases;63;2020-04-01;55;2020-05-31;101;1.84
Australia;2020-05-31;total_cases;67;2020-03-28;3809;2020-05-31;7195;1.89
Austria;2020-05-31;total_cases;66;2020-03-29;8813;2020-05-31;16642;1.89
Azerbaijan;2020-05-31;total_cases;19;2020-05-15;2980;2020-05-31;5494;1.84
Bahamas;2020-05-31;total_cases;47;2020-04-17;55;2020-05-31;102;1.85
Bahrain;2020-05-31;total_cases;20;2020-05-14;6198;2020-05-31;11398;1.84
Bangladesh;2020-05-31;total_cases;15;2020-05-19;25121;2020-05-31;47153;1.88
Barbados;2020-05-31;total_cases;60;2020-04-04;51;2020-05-31;92;1.8
Belarus;2020-05-31;total_cases;24;2020-05-10;22973;2020-05-31;42556;1.85
Belgium;2020-05-31;total_cases;50;2020-04-14;31119;2020-05-31;58381;1.88
Belize;2020-05-31;total_cases;54;2020-04-10;10;2020-05-31;18;1.8
Bhutan;2020-05-31;total_cases;12;2020-05-21;21;2020-05-31;43;2.05
Bolivia;2020-05-31;total_cases;13;2020-05-21;5187;2020-05-31;9982;1.92
Bosnia.and.Herzegovina;2020-05-31;total_cases;42;2020-04-22;1367;2020-05-31;2509;1.84
Botswana;2020-05-31;total_cases;43;2020-04-21;20;2020-05-31;38;1.9
Brazil;2020-05-31;total_cases;15;2020-05-19;271628;2020-05-31;514849;1.9
British.Virgin.Islands;2020-05-31;total_cases;44;2020-04-19;4;2020-05-31;8;2
Brunei;2020-05-31;total_cases;75;2020-03-20;78;2020-05-31;141;1.81
Bulgaria;2020-05-31;total_cases;37;2020-04-27;1363;2020-05-31;2513;1.84
Burkina.Faso;2020-05-31;total_cases;53;2020-04-11;484;2020-05-31;881;1.82
Cameroon;2020-05-31;total_cases;19;2020-05-15;3105;2020-05-31;5904;1.9
Canada;2020-05-31;total_cases;36;2020-04-28;50015;2020-05-31;90936;1.82
Cape.Verde;2020-05-31;total_cases;25;2020-05-09;236;2020-05-31;435;1.84
Cayman.Islands;2020-05-31;total_cases;27;2020-05-07;78;2020-05-31;141;1.81
Central.African.Republic;2020-05-31;total_cases;11;2020-05-23;552;2020-05-31;1011;1.83
Chad;2020-05-31;total_cases;19;2020-05-15;428;2020-05-31;778;1.82
Chile;2020-05-31;total_cases;14;2020-05-20;53617;2020-05-31;99688;1.86
China;2020-05-31;total_cases;113;2020-02-11;44724;2020-05-31;84147;1.88
Colombia;2020-05-31;total_cases;16;2020-05-18;16295;2020-05-31;29383;1.8
Congo;2020-05-31;total_cases;22;2020-05-12;333;2020-05-31;611;1.83
Costa.Rica;2020-05-31;total_cases;53;2020-04-11;577;2020-05-31;1056;1.83
Cote.d'Ivoire;2020-05-31;total_cases;27;2020-05-07;1571;2020-05-31;2833;1.8
Croatia;2020-05-31;total_cases;58;2020-04-06;1222;2020-05-31;2246;1.84
Cuba;2020-05-31;total_cases;44;2020-04-20;1087;2020-05-31;2045;1.88
Curacao;2020-05-31;total_cases;64;2020-03-29;9;2020-05-31;19;2.11
Cyprus;2020-05-31;total_cases;57;2020-04-07;494;2020-05-31;944;1.91
Czech.Republic;2020-05-31;total_cases;57;2020-04-07;5017;2020-05-31;9273;1.85
Democratic.Republic.of.Congo;2020-05-31;total_cases;16;2020-05-18;1629;2020-05-31;3049;1.87
Denmark;2020-05-31;total_cases;51;2020-04-13;6318;2020-05-31;11669;1.85
Djibouti;2020-05-31;total_cases;14;2020-05-20;1828;2020-05-31;3354;1.83
Dominican.Republic;2020-05-31;total_cases;26;2020-05-08;9376;2020-05-31;17285;1.84
Egypt;2020-05-31;total_cases;15;2020-05-19;13484;2020-05-31;24985;1.85
El.Salvador;2020-05-31;total_cases;17;2020-05-17;1338;2020-05-31;2517;1.88
Equatorial.Guinea;2020-05-31;total_cases;16;2020-05-18;719;2020-05-31;1306;1.82
Eritrea;2020-05-31;total_cases;62;2020-04-01;18;2020-05-31;39;2.17
Estonia;2020-05-31;total_cases;60;2020-04-04;1018;2020-05-31;1869;1.84
Ethiopia;2020-05-31;total_cases;9;2020-05-24;582;2020-05-31;1172;2.01
Faeroe.Islands;2020-05-31;total_cases;73;2020-03-21;92;2020-05-31;187;2.03
Finland;2020-05-31;total_cases;45;2020-04-19;3783;2020-05-31;6859;1.81
France;2020-05-31;total_cases;56;2020-04-08;82048;2020-05-31;151753;1.85
French.Polynesia;2020-05-31;total_cases;67;2020-03-27;30;2020-05-31;60;2
Gabon;2020-05-31;total_cases;16;2020-05-18;1432;2020-05-31;2655;1.85
Gambia;2020-05-31;total_cases;32;2020-05-01;12;2020-05-31;25;2.08
Georgia;2020-05-31;total_cases;41;2020-04-23;425;2020-05-31;783;1.84
Germany;2020-05-31;total_cases;58;2020-04-06;99225;2020-05-31;181815;1.83
Ghana;2020-05-31;total_cases;24;2020-05-10;4263;2020-05-31;8070;1.89
Gibraltar;2020-05-31;total_cases;62;2020-04-02;88;2020-05-31;169;1.92
Greece;2020-05-31;total_cases;61;2020-04-03;1613;2020-05-31;2917;1.81
Greenland;2020-05-31;total_cases;68;2020-03-26;6;2020-05-31;13;2.17
Grenada;2020-05-31;total_cases;55;2020-04-09;12;2020-05-31;23;1.92
Guam;2020-05-31;total_cases;60;2020-04-04;93;2020-05-31;175;1.88
Guatemala;2020-05-31;total_cases;12;2020-05-22;2743;2020-05-31;5087;1.85
Guernsey;2020-05-31;total_cases;60;2020-04-04;136;2020-05-31;252;1.85
Guinea;2020-05-31;total_cases;25;2020-05-09;2042;2020-05-31;3771;1.85
Guinea-Bissau;2020-05-31;total_cases;24;2020-05-10;726;2020-05-31;1322;1.82
Guyana;2020-05-31;total_cases;31;2020-05-03;82;2020-05-31;153;1.87
Haiti;2020-05-31;total_cases;8;2020-05-26;1174;2020-05-31;2124;1.81
Honduras;2020-05-31;total_cases;16;2020-05-18;2798;2020-05-31;5202;1.86
Hungary;2020-05-31;total_cases;44;2020-04-20;2098;2020-05-31;3876;1.85
Iceland;2020-05-31;total_cases;67;2020-03-28;963;2020-05-31;1806;1.88
India;2020-05-31;total_cases;16;2020-05-18;101139;2020-05-31;190535;1.88
Indonesia;2020-05-31;total_cases;23;2020-05-11;14265;2020-05-31;26473;1.86
International;2020-05-31;total_cases;18;2020-02-16;355;2020-03-09;696;1.96
Iran;2020-05-31;total_cases;44;2020-04-20;83505;2020-05-31;151466;1.81
Iraq;2020-05-31;total_cases;16;2020-05-18;3554;2020-05-31;6439;1.81
Ireland;2020-05-31;total_cases;48;2020-04-16;13271;2020-05-31;24990;1.88
Isle.of.Man;2020-05-31;total_cases;55;2020-04-08;158;2020-05-31;336;2.13
Israel;2020-05-31;total_cases;56;2020-04-08;9404;2020-05-31;17071;1.82
Italy;2020-05-31;total_cases;59;2020-04-05;128948;2020-05-31;233019;1.81
Jamaica;2020-05-31;total_cases;39;2020-04-25;305;2020-05-31;586;1.92
Japan;2020-05-31;total_cases;48;2020-04-16;9167;2020-05-31;16884;1.84
Jersey;2020-05-31;total_cases;56;2020-04-08;170;2020-05-31;308;1.81
Jordan;2020-05-31;total_cases;47;2020-04-17;407;2020-05-31;739;1.82
Kazakhstan;2020-05-31;total_cases;18;2020-05-16;6157;2020-05-31;11308;1.84
Kenya;2020-05-31;total_cases;14;2020-05-20;1029;2020-05-31;1962;1.91
Kosovo;2020-05-31;total_cases;44;2020-04-19;510;2020-05-31;1064;2.09
