"dia_ano","dias","otimista","casos_estimados","pessimista","x"
197,2020-07-15,835,1017,1199,1054
198,2020-07-16,865,1054,1243,1071
199,2020-07-17,897,1093,1289,1088
200,2020-07-18,930,1133,1336,1111
201,2020-07-19,965,1175,1385,1125
202,2020-07-20,1000,1218,1436,1156
203,2020-07-21,1036,1262,1488,1182
204,2020-07-22,1075,1309,1543,1211
205,2020-07-23,1114,1357,1600,1247
206,2020-07-24,1155,1407,1659,1284
207,2020-07-25,1197,1458,1719,1303
208,2020-07-26,1241,1512,1783,NA
209,2020-07-27,1286,1567,1848,NA
210,2020-07-28,1334,1625,1916,NA
211,2020-07-29,1383,1685,1987,NA
212,2020-07-30,1434,1747,2060,NA
213,2020-07-31,1487,1811,2135,NA
214,2020-08-01,1541,1877,2213,NA
215,2020-08-02,1598,1946,2294,NA
216,2020-08-03,1657,2018,2379,NA
217,2020-08-04,1717,2092,2467,NA
