"dia_ano","dias","otimista","casos_estimados","pessimista","x"
176,2020-06-24,2571,2695,2819,2710
177,2020-06-25,2580,2704,2828,2731
178,2020-06-26,2589,2713,2837,2739
179,2020-06-27,2596,2721,2846,2772
180,2020-06-28,2604,2729,2854,2780
181,2020-06-29,2611,2736,2861,2792
182,2020-06-30,2616,2742,2868,2823
183,2020-07-01,2622,2748,2874,2843
184,2020-07-02,2628,2754,2880,2862
185,2020-07-03,2633,2759,2885,2887
186,2020-07-04,2636,2763,2890,2918
187,2020-07-05,2641,2768,2895,NA
188,2020-07-06,2645,2772,2899,NA
189,2020-07-07,2648,2775,2902,NA
190,2020-07-08,2652,2779,2906,NA
191,2020-07-09,2654,2782,2910,NA
192,2020-07-10,2657,2785,2913,NA
193,2020-07-11,2659,2787,2915,NA
194,2020-07-12,2662,2790,2918,NA
195,2020-07-13,2664,2792,2920,NA
196,2020-07-14,2666,2794,2922,NA
