"country","dias","otimista","casos_estimados","pessimista","estimativa_mortes","casos_confirmados","latitude","longitude"
"United.Kingdom",2020-03-19,2823,3110,3397,185,3277,"55.378051","-3.435973"
"United.Kingdom",2020-03-20,3414,3762,4110,224,3983,"55.378051","-3.435973"
"United.Kingdom",2020-03-21,4131,4552,4973,271,5018,"55.378051","-3.435973"
"United.Kingdom",2020-03-22,4997,5506,6015,328,5683,"55.378051","-3.435973"
"United.Kingdom",2020-03-23,6046,6661,7276,397,6650,"55.378051","-3.435973"
"United.Kingdom",2020-03-24,7314,8059,8804,481,8077,"55.378051","-3.435973"
"United.Kingdom",2020-03-25,8848,9749,10650,581,9529,"55.378051","-3.435973"
"United.Kingdom",2020-03-26,10704,11794,12884,703,11658,"55.378051","-3.435973"
"United.Kingdom",2020-03-27,12950,14268,15586,851,14543,"55.378051","-3.435973"
"United.Kingdom",2020-03-28,15665,17260,18855,1029,17089,"55.378051","-3.435973"
"United.Kingdom",2020-03-29,18952,20881,22810,1245,NA,"55.378051","-3.435973"
"United.Kingdom",2020-03-30,22927,25261,27595,1506,NA,"55.378051","-3.435973"
"United.Kingdom",2020-03-31,27736,30559,33382,1822,NA,"55.378051","-3.435973"
"United.Kingdom",2020-04-01,33554,36969,40384,2204,NA,"55.378051","-3.435973"
"United.Kingdom",2020-04-02,40592,44724,48856,2667,NA,"55.378051","-3.435973"
"United.Kingdom",2020-04-03,49106,54104,59102,3226,NA,"55.378051","-3.435973"
"United.Kingdom",2020-04-04,59406,65453,71500,3903,NA,"55.378051","-3.435973"
