"dia_ano","dias","otimista","casos_estimados","pessimista","x"
153,2020-06-01,2141,2966,3791,3019
154,2020-06-02,2268,3142,4016,3144
155,2020-06-03,2403,3330,4257,3245
156,2020-06-04,2546,3528,4510,NA
157,2020-06-05,2698,3739,4780,NA
158,2020-06-06,2859,3962,5065,3665
159,2020-06-07,3030,4198,5366,3678
160,2020-06-08,3210,4448,5686,3835
161,2020-06-09,3401,4713,6025,NA
162,2020-06-10,3604,4994,6384,NA
163,2020-06-11,3819,5292,6765,NA
164,2020-06-12,4047,5608,7169,NA
165,2020-06-13,4288,5942,7596,NA
166,2020-06-14,4544,6296,8048,NA
167,2020-06-15,4815,6672,8529,NA
