"dia_ano","dias","otimista","casos_estimados","pessimista","x"
178,2020-06-26,225,276,327,273
179,2020-06-27,233,287,341,281
180,2020-06-28,242,298,354,281
181,2020-06-29,252,310,368,281
182,2020-06-30,262,322,382,283
183,2020-07-01,272,334,396,314
184,2020-07-02,282,347,412,354
185,2020-07-03,294,361,428,358
186,2020-07-04,305,375,445,364
187,2020-07-05,316,389,462,368
188,2020-07-06,329,405,481,371
189,2020-07-07,342,420,498,NA
190,2020-07-08,356,437,518,NA
191,2020-07-09,369,454,539,NA
192,2020-07-10,383,471,559,NA
193,2020-07-11,399,490,581,NA
194,2020-07-12,414,509,604,NA
195,2020-07-13,430,528,626,NA
196,2020-07-14,447,549,651,NA
197,2020-07-15,464,570,676,NA
198,2020-07-16,482,592,702,NA
