"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
129,2020-05-08,1001,1073,1145,1222
130,2020-05-09,1085,1163,1241,1263
131,2020-05-10,1176,1261,1346,1302
132,2020-05-11,1275,1367,1459,1396
133,2020-05-12,1382,1482,1582,1460
134,2020-05-13,1499,1607,1715,1612
135,2020-05-14,1625,1742,1859,1686
136,2020-05-15,1762,1889,2016,1789
137,2020-05-16,1910,2048,2186,NA
138,2020-05-17,2072,2221,2370,NA
139,2020-05-18,2246,2408,2570,NA
140,2020-05-19,2434,2610,2786,NA
141,2020-05-20,2640,2830,3020,NA
142,2020-05-21,2863,3069,3275,NA
143,2020-05-22,3103,3327,3551,NA
