"data","boletim","NA","Casoconfirmado","CasoDescartado","Casosuspeito","Total"
"02/04/2020","35","Afonso Cl<U+00E1>udio","1","3","0","4"
"02/04/2020","35","<U+00C1>gua Doce do Norte","0","1","0","1"
"02/04/2020","35","Alegre","0","2","0","2"
"02/04/2020","35","Alfredo Chaves","0","6","1","7"
"02/04/2020","35","Anchieta","0","3","0","3"
"02/04/2020","35","Apiac<U+00E1>","0","0","13","13"
"02/04/2020","35","Aracruz","1","14","18","33"
"02/04/2020","35","At<U+00ED>lio Viv<U+00E1>cqua","0","3","0","3"
"02/04/2020","35","Barra de S<U+00E3>o Francisco","0","3","1","4"
"02/04/2020","35","Boa Esperan<U+00E7>a","0","1","1","2"
"02/04/2020","35","Bom Jesus do Norte","0","0","11","11"
"02/04/2020","35","Brejetuba","0","1","0","1"
"02/04/2020","35","Cachoeiro de Itapemirim","1","29","11","41"
"02/04/2020","35","Cariacica","11","109","39","159"
"02/04/2020","35","Castelo","2","8","1","11"
"02/04/2020","35","Colatina","0","20","2","22"
"02/04/2020","35","Concei<U+00E7><U+00E3>o da Barra","0","1","0","1"
"02/04/2020","35","Divino de S<U+00E3>o Louren<U+00E7>o","0","1","0","1"
"02/04/2020","35","Domingos Martins","0","9","2","11"
"02/04/2020","35","Dores do Rio Preto","0","1","0","1"
"02/04/2020","35","Fund<U+00E3>o","1","","16","17"
"02/04/2020","35","Governador Lindenberg","0","1","0","1"
"02/04/2020","35","Gua<U+00E7>u<U+00ED>","0","4","2","6"
"02/04/2020","35","Guarapari","3","20","3","26"
"02/04/2020","35","Ibira<U+00E7>u","0","0","1","1"
"02/04/2020","35","Ibitirama","0","0","1","1"
"02/04/2020","35","Iconha","0","5","1","6"
"02/04/2020","35","Itagua<U+00E7>u","0","1","0","1"
"02/04/2020","35","Itapemirim","1","3","2","6"
"02/04/2020","35","Itarana","0","2","0","2"
"02/04/2020","35","Jaguar<U+00E9>","0","2","1","3"
"02/04/2020","35","Jer<U+00F4>nimo Monteiro","0","1","3","4"
"02/04/2020","35","Jo<U+00E3>o Neiva","0","2","1","3"
"02/04/2020","35","Laranja da Terra","0","1","0","1"
"02/04/2020","35","Linhares","7","70","90","167"
"02/04/2020","35","Manten<U+00F3>polis","0","1","0","1"
"02/04/2020","35","Marata<U+00ED>zes","0","4","2","6"
"02/04/2020","35","Marechal Floriano","0","3","0","3"
"02/04/2020","35","Maril<U+00E2>ndia","0","0","5","5"
"02/04/2020","35","Mimoso do Sul","0","6","0","6"
"02/04/2020","35","Montanha","0","1","1","2"
"02/04/2020","35","Mucurici","0","0","1","1"
"02/04/2020","35","Muniz Freire","0","2","0","2"
"02/04/2020","35","Muqui","0","1","0","1"
"02/04/2020","35","Nova Ven<U+00E9>cia","0","6","0","6"
"02/04/2020","35","Pancas","0","1","0","1"
"02/04/2020","35","Pedro Can<U+00E1>rio","0","3","1","4"
"02/04/2020","35","Pinheiros","0","8","0","8"
"02/04/2020","35","Pi<U+00FA>ma","0","9","6","15"
"02/04/2020","35","Ponto Belo","0","1","0","1"
"02/04/2020","35","Rio Bananal","0","4","0","4"
"02/04/2020","35","Rio Novo do Sul","0","1","1","2"
"02/04/2020","35","Santa Maria de Jetib<U+00E1>","0","6","0","6"
"02/04/2020","35","Santa Teresa","1","2","0","3"
"02/04/2020","35","S<U+00E3>o Gabriel da Palha","0","2","0","2"
"02/04/2020","35","S<U+00E3>o Jos<U+00E9> do Cal<U+00E7>ado","0","1","0","1"
"02/04/2020","35","S<U+00E3>o Mateus","3","15","6","24"
"02/04/2020","35","S<U+00E3>o Roque do Cana<U+00E3>","1","2","1","4"
"02/04/2020","35","Serra","23","143","248","414"
"02/04/2020","35","Sooretama","2","2","5","9"
"02/04/2020","35","Vargem Alta","0","2","0","2"
"02/04/2020","35","Venda Nova do Imigrante","0","5","0","5"
"02/04/2020","35","Viana","1","13","33","47"
"02/04/2020","35","Vila Pav<U+00E3>o","0","1","0","1"
"02/04/2020","35","Vila Val<U+00E9>rio","0","0","1","1"
"02/04/2020","35","Vila Velha","44","297","126","467"
"02/04/2020","35","Vit<U+00F3>ria","36","216","79","331"
"02/04/2020","35","Total Geral","139","1.085","737","1.961"
