location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado;day;mmdiasDuplicar
Brasil;2020-05-16;total_deaths;17;2020-05-02;2586;2020-05-16;4688;1.81;1;17
Brasil;2020-05-17;total_deaths;16;2020-05-04;2654;2020-05-17;4782;1.8;2;16
Brasil;2020-05-18;total_deaths;17;2020-05-04;2654;2020-05-18;4823;1.82;3;17
Brasil;2020-05-19;total_deaths;17;2020-05-05;2851;2020-05-19;5147;1.81;4;17
Brasil;2020-05-20;total_deaths;18;2020-05-05;2851;2020-05-20;5363;1.88;5;18
Brasil;2020-05-21;total_deaths;18;2020-05-06;3045;2020-05-21;5558;1.83;6;18
Brasil;2020-05-22;total_deaths;18;2020-05-07;3206;2020-05-22;5773;1.8;7;17.2857142857143
Brasil;2020-05-23;total_deaths;19;2020-05-07;3206;2020-05-23;6045;1.89;8;17.5714285714286
Brasil;2020-05-24;total_deaths;19;2020-05-08;3416;2020-05-24;6163;1.8;9;18
Brasil;2020-05-25;total_deaths;20;2020-05-08;3416;2020-05-25;6220;1.82;10;18.4285714285714
Brasil;2020-05-26;total_deaths;21;2020-05-08;3416;2020-05-26;6423;1.88;11;19
Brasil;2020-05-27;total_deaths;20;2020-05-10;3709;2020-05-27;6712;1.81;12;19.2857142857143
Brasil;2020-05-28;total_deaths;20;2020-05-11;3743;2020-05-28;6980;1.86;13;19.5714285714286
Brasil;2020-05-29;total_deaths;20;2020-05-12;3949;2020-05-29;7275;1.84;14;19.8571428571429
Brasil;2020-05-30;total_deaths;20;2020-05-13;4118;2020-05-30;7532;1.83;15;20
Brasil;2020-05-31;total_deaths;21;2020-05-13;4118;2020-05-31;7615;1.85;16;20.2857142857143
Brasil;2020-06-01;total_deaths;22;2020-05-13;4118;2020-06-01;7667;1.86;17;20.5714285714286
Brasil;2020-06-02;total_deaths;22;2020-05-14;4315;2020-06-02;7994;1.85;18;20.7142857142857
Brasil;2020-06-03;total_deaths;22;2020-05-15;4501;2020-06-03;8276;1.84;19;21
Brasil;2020-06-04;total_deaths;22;2020-05-16;4688;2020-06-04;8560;1.83;20;21.2857142857143
Brasil;2020-06-05;total_deaths;21;2020-05-18;4823;2020-06-05;8842;1.83;21;21.4285714285714
Brasil;2020-06-06;total_deaths;22;2020-05-18;4823;2020-06-06;9058;1.88;22;21.7142857142857
Brasil;2020-06-07;total_deaths;23;2020-05-18;4823;2020-06-07;9145;1.9;23;22
Brasil;2020-06-08;total_deaths;24;2020-05-18;4823;2020-06-08;9188;1.91;24;22.2857142857143
Brasil;2020-06-09;total_deaths;24;2020-05-19;5147;2020-06-09;9522;1.85;25;22.5714285714286
Brasil;2020-06-10;total_deaths;24;2020-05-20;5363;2020-06-10;9862;1.84;26;22.8571428571429
Brasil;2020-06-11;total_deaths;24;2020-05-21;5558;2020-06-11;10145;1.83;27;23.1428571428571
Brasil;2020-06-12;total_deaths;25;2020-05-21;5558;2020-06-12;10368;1.87;28;23.7142857142857
Brasil;2020-06-13;total_deaths;25;2020-05-22;5773;2020-06-13;10581;1.83;29;24.1428571428571
Brasil;2020-06-14;total_deaths;26;2020-05-22;5773;2020-06-14;10694;1.85;30;24.5714285714286
Brasil;2020-06-15;total_deaths;27;2020-05-22;5773;2020-06-15;10767;1.87;31;25
Brasil;2020-06-16;total_deaths;26;2020-05-24;6163;2020-06-16;11132;1.81;32;25.2857142857143
Brasil;2020-06-17;total_deaths;26;2020-05-25;6220;2020-06-17;11521;1.85;33;25.5714285714286
Brasil;2020-06-18;total_deaths;26;2020-05-26;6423;2020-06-18;11846;1.84;34;25.8571428571429
Brasil;2020-06-19;total_deaths;26;2020-05-27;6712;2020-06-19;12232;1.82;35;26
Brasil;2020-06-20;total_deaths;27;2020-05-27;6712;2020-06-20;12494;1.86;36;26.2857142857143
Brasil;2020-06-21;total_deaths;27;2020-05-28;6980;2020-06-21;12588;1.8;37;26.4285714285714
Brasil;2020-06-22;total_deaths;28;2020-05-28;6980;2020-06-22;12634;1.81;38;26.5714285714286
Brasil;2020-06-23;total_deaths;29;2020-05-28;6980;2020-06-23;13068;1.87;39;27
Brasil;2020-06-24;total_deaths;29;2020-05-29;7275;2020-06-24;13352;1.84;40;27.4285714285714
Brasil;2020-06-25;total_deaths;28;2020-05-31;7615;2020-06-25;13759;1.81;41;27.7142857142857
Brasil;2020-06-26;total_deaths;28;2020-06-01;7667;2020-06-26;13966;1.82;42;28
Brasil;2020-06-27;total_deaths;29;2020-06-01;7667;2020-06-27;14263;1.86;43;28.2857142857143
Brasil;2020-06-28;total_deaths;30;2020-06-01;7667;2020-06-28;14338;1.87;44;28.7142857142857
Brasil;2020-06-29;total_deaths;30;2020-06-02;7994;2020-06-29;14398;1.8;45;29
Brasil;2020-06-30;total_deaths;31;2020-06-02;7994;2020-06-30;14763;1.85;46;29.2857142857143
Brasil;2020-07-01;total_deaths;31;2020-06-03;8276;2020-07-01;15030;1.82;47;29.5714285714286
Brasil;2020-07-02;total_deaths;32;2020-06-03;8276;2020-07-02;15351;1.85;48;30.1428571428571
Brasil;2020-07-03;total_deaths;32;2020-06-04;8560;2020-07-03;15694;1.83;49;30.7142857142857
Brasil;2020-07-04;total_deaths;32;2020-06-05;8842;2020-07-04;15996;1.81;50;31.1428571428571
Brasil;2020-07-05;total_deaths;33;2020-06-05;8842;2020-07-05;16078;1.82;51;31.5714285714286
Brasil;2020-07-06;total_deaths;34;2020-06-05;8842;2020-07-06;16134;1.82;52;32.1428571428571
Brasil;2020-07-07;total_deaths;33;2020-06-07;9145;2020-07-07;16475;1.8;53;32.4285714285714
Brasil;2020-07-08;total_deaths;33;2020-06-08;9188;2020-07-08;16788;1.83;54;32.7142857142857
Brasil;2020-07-09;total_deaths;34;2020-06-08;9188;2020-07-09;17118;1.86;55;33
Brasil;2020-07-10;total_deaths;34;2020-06-09;9522;2020-07-10;17442;1.83;56;33.2857142857143
Brasil;2020-07-11;total_deaths;35;2020-06-09;9522;2020-07-11;17702;1.86;57;33.7142857142857
Brasil;2020-07-12;total_deaths;35;2020-06-10;9862;2020-07-12;17848;1.81;58;34
Brasil;2020-07-13;total_deaths;36;2020-06-10;9862;2020-07-13;17907;1.82;59;34.2857142857143
Brasil;2020-07-14;total_deaths;36;2020-06-11;10145;2020-07-14;18324;1.81;60;34.7142857142857
Brasil;2020-07-15;total_deaths;37;2020-06-11;10145;2020-07-15;18640;1.84;61;35.2857142857143
Brasil;2020-07-16;total_deaths;37;2020-06-12;10368;2020-07-16;19038;1.84;62;35.7142857142857
Brasil;2020-07-17;total_deaths;36;2020-06-14;10694;2020-07-17;19377;1.81;63;36
Brasil;2020-07-18;total_deaths;36;2020-06-15;10767;2020-07-18;19647;1.82;64;36.1428571428571
Brasil;2020-07-19;total_deaths;37;2020-06-15;10767;2020-07-19;19732;1.83;65;36.4285714285714
Brasil;2020-07-20;total_deaths;38;2020-06-15;10767;2020-07-20;19788;1.84;66;36.7142857142857
Brasil;2020-07-21;total_deaths;38;2020-06-16;11132;2020-07-21;20171;1.81;67;37
Brasil;2020-07-22;total_deaths;39;2020-06-16;11132;2020-07-22;20532;1.84;68;37.2857142857143
Brasil;2020-07-23;total_deaths;39;2020-06-17;11521;2020-07-23;20894;1.81;69;37.5714285714286
Brasil;2020-07-24;total_deaths;40;2020-06-17;11521;2020-07-24;21206;1.84;70;38.1428571428571
Brasil;2020-07-25;total_deaths;40;2020-06-18;11846;2020-07-25;21517;1.82;71;38.7142857142857
Brasil;2020-07-26;total_deaths;41;2020-06-18;11846;2020-07-26;21606;1.82;72;39.2857142857143
Brasil;2020-07-27;total_deaths;42;2020-06-18;11846;2020-07-27;21676;1.83;73;39.8571428571429
Brasil;2020-07-28;total_deaths;43;2020-06-18;11846;2020-07-28;21676;1.83;74;40.5714285714286
Brasil;2020-07-29;total_deaths;43;2020-06-19;12232;2020-07-29;22389;1.83;75;41.1428571428571
Brasil;2020-07-30;total_deaths;42;2020-06-21;12588;2020-07-30;22710;1.8;76;41.5714285714286
Brasil;2020-07-31;total_deaths;42;2020-06-22;12634;2020-07-31;22997;1.82;77;41.8571428571429
Brasil;2020-08-01;total_deaths;43;2020-06-22;12634;2020-08-01;23236;1.84;78;42.2857142857143
Brasil;2020-08-02;total_deaths;44;2020-06-22;12634;2020-08-02;23317;1.85;79;42.7142857142857
Brasil;2020-08-03;total_deaths;45;2020-06-22;12634;2020-08-03;23365;1.85;80;43.1428571428571
Brasil;2020-08-04;total_deaths;45;2020-06-23;13068;2020-08-04;23702;1.81;81;43.4285714285714
Brasil;2020-08-05;total_deaths;45;2020-06-24;13352;2020-08-05;24109;1.81;82;43.7142857142857
Brasil;2020-08-06;total_deaths;46;2020-06-24;13352;2020-08-06;24448;1.83;83;44.2857142857143
Brasil;2020-08-07;total_deaths;47;2020-06-24;13352;2020-08-07;24735;1.85;84;45
Brasil;2020-08-08;total_deaths;47;2020-06-25;13759;2020-08-08;25016;1.82;85;45.5714285714286
Brasil;2020-08-09;total_deaths;48;2020-06-25;13759;2020-08-09;25114;1.83;86;46.1428571428571
Brasil;2020-08-10;total_deaths;48;2020-06-26;13966;2020-08-10;25151;1.8;87;46.5714285714286
Brasil;2020-08-11;total_deaths;49;2020-06-26;13966;2020-08-11;25571;1.83;88;47.1428571428571
Brasil;2020-08-12;total_deaths;48;2020-06-28;14338;2020-08-12;25869;1.8;89;47.5714285714286
Brasil;2020-08-13;total_deaths;48;2020-06-29;14398;2020-08-13;26324;1.83;90;47.8571428571429
Brasil;2020-08-14;total_deaths;48;2020-06-30;14763;2020-08-14;26613;1.8;91;48
Brasil;2020-08-15;total_deaths;49;2020-06-30;14763;2020-08-15;26780;1.81;92;48.2857142857143
Brasil;2020-08-16;total_deaths;50;2020-06-30;14763;2020-08-16;26852;1.82;93;48.5714285714286
Brasil;2020-08-17;total_deaths;51;2020-06-30;14763;2020-08-17;26899;1.82;94;49
Brasil;2020-08-18;total_deaths;51;2020-07-01;15030;2020-08-18;27315;1.82;95;49.2857142857143
Brasil;2020-08-19;total_deaths;52;2020-07-01;15030;2020-08-19;27591;1.84;96;49.8571428571429
Brasil;2020-08-20;total_deaths;52;2020-07-02;15351;2020-08-20;27905;1.82;97;50.4285714285714
Brasil;2020-08-21;total_deaths;53;2020-07-02;15351;2020-08-21;28155;1.83;98;51.1428571428571
Brasil;2020-08-22;total_deaths;53;2020-07-03;15694;2020-08-22;28392;1.81;99;51.7142857142857
Brasil;2020-08-23;total_deaths;54;2020-07-03;15694;2020-08-23;28467;1.81;100;52.2857142857143
Brasil;2020-08-24;total_deaths;55;2020-07-03;15694;2020-08-24;28505;1.82;101;52.8571428571429
Brasil;2020-08-25;total_deaths;55;2020-07-04;15996;2020-08-25;28912;1.81;102;53.4285714285714
Brasil;2020-08-26;total_deaths;54;2020-07-06;16134;2020-08-26;29194;1.81;103;53.7142857142857
Brasil;2020-08-27;total_deaths;55;2020-07-06;16134;2020-08-27;29415;1.82;104;54.1428571428571
Brasil;2020-08-28;total_deaths;55;2020-07-07;16475;2020-08-28;29694;1.8;105;54.4285714285714
Brasil;2020-08-29;total_deaths;56;2020-07-07;16475;2020-08-29;29944;1.82;106;54.8571428571429
Brasil;2020-08-30;total_deaths;57;2020-07-07;16475;2020-08-30;29978;1.82;107;55.2857142857143
Brasil;2020-08-31;total_deaths;58;2020-07-07;16475;2020-08-31;30014;1.82;108;55.7142857142857
Brasil;2020-09-01;total_deaths;58;2020-07-08;16788;2020-09-01;30375;1.81;109;56.1428571428571
Brasil;2020-09-02;total_deaths;59;2020-07-08;16788;2020-09-02;30673;1.83;110;56.8571428571429
Brasil;2020-09-03;total_deaths;59;2020-07-09;17118;2020-09-03;30905;1.81;111;57.4285714285714
Brasil;2020-09-04;total_deaths;60;2020-07-09;17118;2020-09-04;31091;1.82;112;58.1428571428571
Brasil;2020-09-05;total_deaths;61;2020-07-09;17118;2020-09-05;31313;1.83;113;58.8571428571429
Brasil;2020-09-06;total_deaths;62;2020-07-09;17118;2020-09-06;31353;1.83;114;59.5714285714286
Brasil;2020-09-07;total_deaths;63;2020-07-09;17118;2020-09-07;31377;1.83;115;60.2857142857143
Brasil;2020-09-08;total_deaths;63;2020-07-10;17442;2020-09-08;31430;1.8;116;61
Brasil;2020-09-09;total_deaths;64;2020-07-10;17442;2020-09-09;31821;1.82;117;61.7142857142857
Brasil;2020-09-10;total_deaths;64;2020-07-11;17702;2020-09-10;32104;1.81;118;62.4285714285714
Brasil;2020-09-11;total_deaths;63;2020-07-13;17907;2020-09-11;32338;1.81;119;62.8571428571429
Brasil;2020-09-12;total_deaths;64;2020-07-13;17907;2020-09-12;32567;1.82;120;63.2857142857143
