"dia_ano","dias","otimista","casos_estimados","pessimista","x"
182,2020-06-30,574,622,670,614
183,2020-07-01,594,644,694,636
184,2020-07-02,616,668,720,663
185,2020-07-03,639,693,747,690
186,2020-07-04,662,718,774,715
187,2020-07-05,686,744,802,727
188,2020-07-06,711,771,831,759
189,2020-07-07,738,800,862,791
190,2020-07-08,764,829,894,825
191,2020-07-09,792,859,926,870
192,2020-07-10,822,891,960,919
193,2020-07-11,852,924,996,NA
194,2020-07-12,882,957,1032,NA
195,2020-07-13,915,992,1069,NA
196,2020-07-14,949,1029,1109,NA
197,2020-07-15,984,1067,1150,NA
198,2020-07-16,1020,1106,1192,NA
199,2020-07-17,1057,1146,1235,NA
200,2020-07-18,1095,1188,1281,NA
201,2020-07-19,1136,1232,1328,NA
202,2020-07-20,1178,1277,1376,NA
