"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
164,2020-06-12,21,26,31,24
165,2020-06-13,22,27,32,24
166,2020-06-14,23,28,33,25
167,2020-06-15,24,29,34,25
168,2020-06-16,25,30,35,24
169,2020-06-17,26,32,38,30
170,2020-06-18,27,33,39,32
171,2020-06-19,28,34,40,37
172,2020-06-20,29,35,41,40
173,2020-06-21,30,37,44,41
174,2020-06-22,31,38,45,42
175,2020-06-23,33,40,47,NA
176,2020-06-24,34,41,48,NA
177,2020-06-25,35,43,51,NA
178,2020-06-26,37,45,53,NA
179,2020-06-27,38,46,54,NA
180,2020-06-28,39,48,57,NA
181,2020-06-29,41,50,59,NA
182,2020-06-30,43,52,61,NA
183,2020-07-01,44,54,64,NA
184,2020-07-02,46,56,66,NA
