"dia_ano","dias","otimista","casos_estimados","pessimista","casos_confirmados"
184,2020-07-02,27797,29366,30935,29195
185,2020-07-03,28674,30293,31912,30371
186,2020-07-04,29562,31231,32900,31619
187,2020-07-05,30458,32177,33896,31955
188,2020-07-06,31361,33131,34901,32401
189,2020-07-07,32269,34091,35913,33800
190,2020-07-08,33185,35058,36931,35557
191,2020-07-09,34103,36028,37953,36434
192,2020-07-10,35025,37002,38979,37490
193,2020-07-11,35948,37977,40006,38720
194,2020-07-12,36872,38953,41034,39240
195,2020-07-13,37795,39928,42061,NA
196,2020-07-14,38716,40901,43086,NA
197,2020-07-15,39634,41871,44108,NA
198,2020-07-16,40547,42836,45125,NA
199,2020-07-17,41456,43796,46136,NA
200,2020-07-18,42358,44749,47140,NA
201,2020-07-19,43252,45694,48136,NA
202,2020-07-20,44138,46630,49122,NA
203,2020-07-21,45014,47555,50096,NA
204,2020-07-22,45880,48470,51060,NA
