"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-05-03,657,674,666,761,571,730
2020-05-04,761,786,774,884,664,772
2020-05-05,882,912,897,1024,770,898
2020-05-06,1022,1055,1038,1185,891,998
2020-05-07,1184,1214,1199,1369,1029,1214
2020-05-08,1372,1390,1381,1577,1185,1438
2020-05-09,1590,1582,1586,1811,1361,1588
2020-05-10,1843,1789,1816,2074,1558,1771
2020-05-11,2136,2010,2073,2367,1779,NA
2020-05-12,2475,2241,2358,2693,2023,NA
2020-05-13,2868,2481,2674,3054,2294,NA
2020-05-14,3323,2725,3024,3454,2594,NA
2020-05-15,3851,2971,3411,3895,2927,NA
2020-05-16,4463,3213,3838,4383,3293,NA
2020-05-17,5171,3449,4310,4922,3698,NA
