"dias","exponencial","logistico","casos_estimados","pessimista","otimista","casos_confirmados"
2020-05-21,22768,23794,23281,25016,21546,23911
2020-05-22,24111,24870,24490,26315,22665,25760
2020-05-23,25535,25945,25740,27658,23822,26786
2020-05-24,27042,27013,27028,29042,25014,27759
2020-05-25,28638,28072,28355,30468,26242,28366
2020-05-26,30328,29117,29722,31937,27507,28854
2020-05-27,32119,30144,31132,33452,28812,29919
2020-05-28,34014,31150,32582,35010,30154,30713
2020-05-29,36022,32133,34078,36617,31539,NA
2020-05-30,38148,33088,35618,38272,32964,NA
2020-05-31,40400,34014,37207,39979,34435,NA
2020-06-01,42785,34908,38846,41741,35951,NA
2020-06-02,45310,35769,40540,43561,37519,NA
2020-06-03,47984,36595,42290,45441,39139,NA
2020-06-04,50817,37387,44102,47388,40816,NA
