location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-06-14;total_cases;21;2020-05-27;5251;2020-06-14;9642;1.84
AL;2020-06-14;total_cases;15;2020-06-02;11559;2020-06-14;22199;1.92
AM;2020-06-14;total_cases;23;2020-05-25;30282;2020-06-14;56506;1.87
AP;2020-06-14;total_cases;19;2020-05-29;8469;2020-06-14;16512;1.95
BA;2020-06-14;total_cases;16;2020-06-01;18898;2020-06-14;36401;1.93
CE;2020-06-14;total_cases;19;2020-05-29;38395;2020-06-14;76748;2
DF;2020-06-14;total_cases;14;2020-06-03;12020;2020-06-14;22871;1.9
ES;2020-06-14;total_cases;16;2020-06-01;14069;2020-06-14;26441;1.88
GO;2020-06-14;total_cases;15;2020-06-02;4377;2020-06-14;7944;1.81
MA;2020-06-14;total_cases;18;2020-05-30;32620;2020-06-14;59850;1.83
MG;2020-06-14;total_cases;15;2020-06-02;10939;2020-06-14;21381;1.95
MS;2020-06-14;total_cases;14;2020-06-03;1802;2020-06-14;3433;1.91
MT;2020-06-14;total_cases;13;2020-06-04;3194;2020-06-14;5861;1.84
PA;2020-06-14;total_cases;16;2020-06-01;38046;2020-06-14;69179;1.82
PB;2020-06-14;total_cases;15;2020-06-02;14859;2020-06-14;28013;1.89
PE;2020-06-14;total_cases;27;2020-05-21;23911;2020-06-14;45261;1.89
PI;2020-06-14;total_cases;15;2020-06-02;5506;2020-06-14;10153;1.84
PR;2020-06-14;total_cases;15;2020-06-02;5163;2020-06-14;9583;1.86
RJ;2020-06-14;total_cases;21;2020-05-27;42398;2020-06-14;79572;1.88
RN;2020-06-14;total_cases;17;2020-05-31;7402;2020-06-14;14171;1.91
RO;2020-06-14;total_cases;13;2020-06-04;6459;2020-06-14;11865;1.84
RR;2020-06-14;total_cases;16;2020-06-01;3692;2020-06-14;6875;1.86
RS;2020-06-14;total_cases;20;2020-05-27;7048;2020-06-14;14661;2.08
SC;2020-06-14;total_cases;21;2020-05-27;7372;2020-06-14;13360;1.81
SE;2020-06-14;total_cases;15;2020-06-02;7555;2020-06-14;13968;1.85
SP;2020-06-14;total_cases;20;2020-05-28;95865;2020-06-14;178202;1.86
TO;2020-06-14;total_cases;19;2020-05-29;3611;2020-06-14;6972;1.93
