"data","boletim","Municipio_deresidencia","Casosconfirmados","Casosdescartados","Casossuspeitos","Total"
"25/03/2020","27","Afonso Cláudio","0","0","1","1"
"25/03/2020","27","Água Doce do Norte","0","1","2","3"
"25/03/2020","27","Alegre","0","2","1","3"
"25/03/2020","27","Alfredo Chaves","0","1","3","4"
"25/03/2020","27","Anchieta","0","0","6","6"
"25/03/2020","27","Apiacá","0","0","18","18"
"25/03/2020","27","Aracruz","0","4","5","9"
"25/03/2020","27","Atílio Vivácqua","0","0","3","3"
"25/03/2020","27","Barra de São Francisco","0","2","6","8"
"25/03/2020","27","Boa Esperança","0","0","1","1"
"25/03/2020","27","Bom Jesus do Norte","0","0","10","10"
"25/03/2020","27","Cachoeiro de Itapemirim","1","9","21","31"
"25/03/2020","27","Cariacica","1","29","88","118"
"25/03/2020","27","Castelo","0","0","5","5"
"25/03/2020","27","Colatina","0","7","16","23"
"25/03/2020","27","Divino de São Lourenço","0","0","1","1"
"25/03/2020","27","Domingos Martins","0","1","8","9"
"25/03/2020","27","Dores do Rio Preto","0","0","1","1"
"25/03/2020","27","Ecoporanga","0","0","1","1"
"25/03/2020","27","Fundão","0","0","10","10"
"25/03/2020","27","Governador Lindenberg","0","0","1","1"
"25/03/2020","27","Guaçuí","0","0","2","2"
"25/03/2020","27","Guarapari","0","9","9","18"
"25/03/2020","27","Ibiraçu","0","0","1","1"
"25/03/2020","27","Iconha","0","0","5","5"
"25/03/2020","27","Itaguaçu","0","0","1","1"
"25/03/2020","27","Itapemirim","0","1","2","3"
"25/03/2020","27","Itarana","0","1","1","2"
"25/03/2020","27","Jaguaré","0","0","3","3"
"25/03/2020","27","Jerônimo Monteiro","0","1","0","1"
"25/03/2020","27","João Neiva","0","0","2","2"
"25/03/2020","27","Laranja da Terra","0","1","0","1"
"25/03/2020","27","Linhares","3","29","95","127"
"25/03/2020","27","Mantenópolis","0","0","2","2"
"25/03/2020","27","Marataízes","0","3","2","5"
"25/03/2020","27","Marechal Floriano","0","0","3","3"
"25/03/2020","27","Marilândia","0","0","3","3"
"25/03/2020","27","Mimoso do Sul","0","0","2","2"
"25/03/2020","27","Montanha","0","0","2","2"
"25/03/2020","27","Muniz Freire","0","0","3","3"
"25/03/2020","27","Muqui","0","0","1","1"
"25/03/2020","27","Nova Venécia","0","3","3","6"
"25/03/2020","27","Pancas","0","0","1","1"
"25/03/2020","27","Pedro Canário","0","0","1","1"
"25/03/2020","27","Pinheiros","0","2","7","9"
"25/03/2020","27","Piúma","0","2","8","10"
"25/03/2020","27","Ponto Belo","0","0","1","1"
"25/03/2020","27","Rio Bananal","0","0","2","2"
"25/03/2020","27","Rio Novo do Sul","0","0","1","1"
"25/03/2020","27","Santa Maria de Jetibá","0","5","1","6"
"25/03/2020","27","Santa Teresa","1","1","0","2"
"25/03/2020","27","São Domingos do Norte","0","0","1","1"
"25/03/2020","27","São Gabriel da Palha","0","1","0","1"
"25/03/2020","27","São Mateus","0","4","8","12"
"25/03/2020","27","São Roque do Canaã","0","0","1","1"
"25/03/2020","27","Serra","1","38","223","262"
"25/03/2020","27","Vargem Alta","0","0","2","2"
"25/03/2020","27","Venda Nova do Imigrante","0","1","3","4"
"25/03/2020","27","Viana","0","5","27","32"
"25/03/2020","27","Vila Pavão","0","0","1","1"
"25/03/2020","27","Vila Velha","17","90","254","361"
"25/03/2020","27","Vitória","15","77","127","219"
"25/03/2020","27","Caso do Rio de Janeiro identificado em Vitória*","1","-","-","-"
"25/03/2020","27","Total","39 + 1*","330","1.019","1.388"
