location;data;variavel;diasDuplicar;dataPrimeirosCasos;primeirosCasos;dataUltimosCasos;ultimosCasos;estimado
AC;2020-09-15;total_deaths;82;2020-06-28;353;2020-09-15;642;1.82
AL;2020-09-15;total_deaths;78;2020-07-02;1091;2020-09-15;1991;1.82
AM;2020-09-15;total_deaths;107;2020-06-03;2138;2020-09-15;3907;1.83
AP;2020-09-15;total_deaths;88;2020-06-22;372;2020-09-15;682;1.83
BA;2020-09-15;total_deaths;51;2020-07-29;3321;2020-09-15;6040;1.82
CE;2020-09-15;total_deaths;97;2020-06-13;4829;2020-09-15;8739;1.81
DF;2020-09-15;total_deaths;44;2020-08-05;1572;2020-09-15;2970;1.89
ES;2020-09-15;total_deaths;74;2020-07-06;1838;2020-09-15;3372;1.83
GO;2020-09-15;total_deaths;37;2020-08-12;2135;2020-09-15;3885;1.82
MA;2020-09-15;total_deaths;82;2020-06-28;1982;2020-09-15;3601;1.82
MG;2020-09-15;total_deaths;41;2020-08-08;3449;2020-09-15;6328;1.83
MS;2020-09-15;total_deaths;34;2020-08-15;598;2020-09-15;1106;1.85
MT;2020-09-15;total_deaths;51;2020-07-29;1702;2020-09-15;3124;1.84
PA;2020-09-15;total_deaths;105;2020-06-05;3538;2020-09-15;6387;1.81
PB;2020-09-15;total_deaths;63;2020-07-17;1446;2020-09-15;2649;1.83
PE;2020-09-15;total_deaths;87;2020-06-23;4339;2020-09-15;7914;1.82
PI;2020-09-15;total_deaths;61;2020-07-19;1100;2020-09-15;1988;1.81
PR;2020-09-15;total_deaths;44;2020-08-05;2164;2020-09-15;3918;1.81
RJ;2020-09-15;total_deaths;85;2020-06-25;9450;2020-09-15;17180;1.82
RN;2020-09-15;total_deaths;73;2020-07-07;1291;2020-09-15;2326;1.8
RO;2020-09-15;total_deaths;61;2020-07-19;686;2020-09-15;1269;1.85
RR;2020-09-15;total_deaths;79;2020-07-01;314;2020-09-15;611;1.95
RS;2020-09-15;total_deaths;42;2020-08-07;2282;2020-09-15;4174;1.83
SC;2020-09-15;total_deaths;41;2020-08-08;1419;2020-09-15;2569;1.81
SE;2020-09-15;total_deaths;63;2020-07-17;1088;2020-09-15;1962;1.8
SP;2020-09-15;total_deaths;67;2020-07-13;17907;2020-09-15;32963;1.84
TO;2020-09-15;total_deaths;40;2020-08-09;451;2020-09-15;822;1.82
