"dia_ano","dias","otimista","casos_estimados","pessimista","x"
192,2020-07-10,884,903,922,896
193,2020-07-11,907,926,945,914
194,2020-07-12,928,948,968,936
195,2020-07-13,950,970,990,960
196,2020-07-14,971,992,1013,992
197,2020-07-15,992,1013,1034,1019
198,2020-07-16,1012,1034,1056,1043
199,2020-07-17,1033,1055,1077,1065
200,2020-07-18,1052,1075,1098,1083
201,2020-07-19,1071,1094,1117,1100
202,2020-07-20,1090,1113,1136,1118
203,2020-07-21,1107,1131,1155,NA
204,2020-07-22,1125,1149,1173,NA
205,2020-07-23,1141,1166,1191,NA
206,2020-07-24,1158,1183,1208,NA
207,2020-07-25,1174,1199,1224,NA
208,2020-07-26,1189,1215,1241,NA
209,2020-07-27,1204,1230,1256,NA
210,2020-07-28,1218,1244,1270,NA
211,2020-07-29,1232,1258,1284,NA
212,2020-07-30,1244,1271,1298,NA
