"data","boletim","Municipio_deresidencia","Casoconfirmado","Casodescartado","Casosuspeito","Total"
"27/03/2020","31","Afonso Cláudio","0","1","0","1"
"27/03/2020","31","Água Doce do Norte","0","1","2","3"
"27/03/2020","31","Alegre","0","2","1","3"
"27/03/2020","31","Alfredo Chaves","0","3","2","5"
"27/03/2020","31","Anchieta","0","1","5","6"
"27/03/2020","31","Apiacá","0","0","20","20"
"27/03/2020","31","Aracruz","0","5","5","10"
"27/03/2020","31","Atílio Vivácqua","0","1","2","3"
"27/03/2020","31","Barra de São Francisco","0","2","3","5"
"27/03/2020","31","Boa Esperança","0","1","","1"
"27/03/2020","31","Bom Jesus do Norte","0","0","10","10"
"27/03/2020","31","Cachoeiro de Itapemirim","1","10","23","34"
"27/03/2020","31","Cariacica","1","36","96","133"
"27/03/2020","31","Castelo","1","1","7","9"
"27/03/2020","31","Colatina","0","8","16","24"
"27/03/2020","31","Divino de São Lourenço","0","0","1","1"
"27/03/2020","31","Domingos Martins","0","2","8","10"
"27/03/2020","31","Dores do Rio Preto","0","0","1","1"
"27/03/2020","31","Ecoporanga","0","0","1","1"
"27/03/2020","31","Fundão","0","0","11","11"
"27/03/2020","31","Governador Lindenberg","0","0","1","1"
"27/03/2020","31","Guaçuí","0","1","4","5"
"27/03/2020","31","Guarapari","0","13","7","20"
"27/03/2020","31","Ibiraçu","0","0","1","1"
"27/03/2020","31","Iconha","0","0","4","4"
"27/03/2020","31","Itaguaçu","0","0","1","1"
"27/03/2020","31","Itapemirim","0","1","2","3"
"27/03/2020","31","Itarana","0","1","1","2"
"27/03/2020","31","Jaguaré","0","2","1","3"
"27/03/2020","31","Jerônimo Monteiro","0","1","1","2"
"27/03/2020","31","João Neiva","0","0","3","3"
"27/03/2020","31","Laranja da Terra","0","1","","1"
"27/03/2020","31","Linhares","4","34","95","133"
"27/03/2020","31","Mantenópolis","0","0","2","2"
"27/03/2020","31","Marataízes","0","3","3","6"
"27/03/2020","31","Marechal Floriano","0","0","3","3"
"27/03/2020","31","Marilândia","0","0","5","5"
"27/03/2020","31","Mimoso do Sul","0","0","5","5"
"27/03/2020","31","Montanha","0","0","2","2"
"27/03/2020","31","Muniz Freire","0","0","2","2"
"27/03/2020","31","Muqui","0","0","1","1"
"27/03/2020","31","Nova Venécia","0","3","3","6"
"27/03/2020","31","Pancas","0","0","2","2"
"27/03/2020","31","Pedro Canário","0","0","1","1"
"27/03/2020","31","Pinheiros","0","2","7","9"
"27/03/2020","31","Piúma","0","3","9","12"
"27/03/2020","31","Ponto Belo","0","0","1","1"
"27/03/2020","31","Rio Bananal","0","0","3","3"
"27/03/2020","31","Rio Novo do Sul","0","0","2","2"
"27/03/2020","31","Santa Maria de Jetibá","0","5","1","6"
"27/03/2020","31","Santa Teresa","1","1","","2"
"27/03/2020","31","São Gabriel da Palha","0","1","","1"
"27/03/2020","31","São Mateus","0","5","7","12"
"27/03/2020","31","São Roque do Canaã","1","0","1","2"
"27/03/2020","31","Serra","5","42","265","312"
"27/03/2020","31","Vargem Alta","0","0","2","2"
"27/03/2020","31","Venda Nova do Imigrante","0","1","3","4"
"27/03/2020","31","Viana","0","5","37","42"
"27/03/2020","31","Vila Pavão","0","0","1","1"
"27/03/2020","31","Vila Velha","21","116","260","397"
"27/03/2020","31","Vitória","18","96","142","256"
"27/03/2020","31","Caso do Rio de Janeiro identificado em Vitória*","1","-","-","-"
"27/03/2020","31","Total","53 + 1*","411","1.105","1.570"
